lesson,topic_id,url,repo
Deploy On Day 1,1,https://learn.co/tracks/web-development-immersive-2-0-module-one/deploy-on-day-1-dc-web-062419,deploy-on-day-1-dc-web-062419
Bonus Collections Practice,2,https://learn.co/tracks/web-development-immersive-2-0-module-one/collections_practice-dc-web-062419,collections_practice-dc-web-062419
Iteration and Building Hashes - Element Count,3,https://learn.co/tracks/web-development-immersive-2-0-module-one/count-elements-dc-web-062419,count-elements-dc-web-062419
Apis And Iteration,4,https://learn.co/tracks/web-development-immersive-2-0-module-one/apis-and-iteration-dc-web-062419,apis-and-iteration-dc-web-062419
Classes and Instances Lab,5,https://learn.co/tracks/web-development-immersive-2-0-module-one/classes-and-instances-lab-ruby-dc-web-062419,classes-and-instances-lab-ruby-dc-web-062419
Instance Methods,6,https://learn.co/tracks/web-development-immersive-2-0-module-one/,
Instance Methods Lab,6,https://learn.co/tracks/web-development-immersive-2-0-module-one/instance-methods-lab-ruby-dc-web-062419,instance-methods-lab-ruby-dc-web-062419
Instance Variables,7,https://learn.co/tracks/web-development-immersive-2-0-module-one/ruby-instance-variables-lab-dc-web-062419,ruby-instance-variables-lab-dc-web-062419
Object Attributes Lab,7,https://learn.co/tracks/web-development-immersive-2-0-module-one/ruby-object-attributes-lab-dc-web-062419,ruby-object-attributes-lab-dc-web-062419
Meowing Cat,7,https://learn.co/tracks/web-development-immersive-2-0-module-one/oo-meowing-cat-dc-web-062419,oo-meowing-cat-dc-web-062419
Object Initialization Lab,8,https://learn.co/tracks/web-development-immersive-2-0-module-one/ruby-object-initialize-lab-dc-web-062419,ruby-object-initialize-lab-dc-web-062419
OO Basics,8,https://learn.co/tracks/web-development-immersive-2-0-module-one/oo-basics-dc-web-062419,oo-basics-dc-web-062419
OO Basics with Class Constants,8,https://learn.co/tracks/web-development-immersive-2-0-module-one/oo-basics-with-class-constants-dc-web-062419,oo-basics-with-class-constants-dc-web-062419
OO School Domain,8,https://learn.co/tracks/web-development-immersive-2-0-module-one/school-domain-dc-web-062419,school-domain-dc-web-062419
OO Counting Sentences,9,https://learn.co/tracks/web-development-immersive-2-0-module-one/oo-counting-sentences-dc-web-062419,oo-counting-sentences-dc-web-062419
OO Cash Register,9,https://learn.co/tracks/web-development-immersive-2-0-module-one/oo-cash-register-dc-web-062419,oo-cash-register-dc-web-062419
Class Variables and Methods Lab,10,https://learn.co/tracks/web-development-immersive-2-0-module-one/ruby-class-variables-and-class-methods-lab-dc-web-062419,ruby-class-variables-and-class-methods-lab-dc-web-062419
Oo Person,11,https://learn.co/tracks/web-development-immersive-2-0-module-one/oo-person-dc-web-062419,oo-person-dc-web-062419
OO Email Parser,12,https://learn.co/tracks/web-development-immersive-2-0-module-one/oo-email-parser-dc-web-062419,oo-email-parser-dc-web-062419
BONUS: OO Anagram Detector,12,https://learn.co/tracks/web-development-immersive-2-0-module-one/anagram-detector-dc-web-062419,anagram-detector-dc-web-062419
Belongs to Object Lab,13,https://learn.co/tracks/web-development-immersive-2-0-module-one/ruby-objects-belong-to-lab-dc-web-062419,ruby-objects-belong-to-lab-dc-web-062419
Has Many Object Lab,13,https://learn.co/tracks/web-development-immersive-2-0-module-one/ruby-objects-has-many-lab-dc-web-062419,ruby-objects-has-many-lab-dc-web-062419
